dataset_source,scale,engine,approach,schema,collection,repeat,n_queries,mean_latency_ms,p95_latency_ms,throughput_qps,cpu_percent,storage_mb,ciphertext_expansion_factor,recovery_accuracy,recovery_accuracy_filtered,linkage_recovery_accuracy,n_unique_tokens,decoy_target_ratio
excel,1000,couchbase,A,single,lab_orders,2,5000,2.303836040002352,3.157139999166248,431.7072128527466,34.3,18.47195529937744,1.0,1.0,,,5000,
excel,1000,couchbase,B,single,lab_orders,0,5000,2.4122610200065537,3.338659999462834,405.33926827843294,35.0,18.484122276306152,1.0006586729304787,0.7236,,,97,
excel,1000,couchbase,B,single,lab_orders,1,5000,2.411548119972577,3.460894998715958,405.3851131413424,36.0,18.484122276306152,1.0006586729304787,0.7236,,,97,
excel,1000,couchbase,B,single,lab_orders,2,5000,2.409118079976179,3.438830001323368,405.72455601700585,35.7,18.484122276306152,1.0006586729304787,0.7236,,,97,
excel,1000,couchbase,C,single,lab_orders,0,5000,2.686815640004352,3.4360650024609645,364.500266380381,33.8,18.47621154785156,1.0002304167807436,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,single,lab_orders,1,5000,2.6657990400010023,3.4396700009892816,367.601516779715,33.6,18.47621154785156,1.0002304167807436,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,single,lab_orders,2,5000,2.660804820025078,3.426919997582446,368.41242208579473,31.4,18.47621154785156,1.0002304167807436,0.3984,0.4048,,97,0.5
excel,1000,couchbase,C,single,lab_orders,0,5000,2.853470959972765,3.524859998651664,343.6494563307322,32.6,17.73230743408203,0.9599583339550232,0.3288,0.4188,,97,0.75
excel,1000,couchbase,C,single,lab_orders,1,5000,2.831097939958272,3.552109995507635,346.57520001852333,32.4,17.73230743408203,0.9599583339550232,0.3288,0.4188,,97,0.75
excel,1000,couchbase,C,single,lab_orders,2,5000,2.86292029999604,3.569534996859147,342.7100822400527,31.8,17.73230743408203,0.9599583339550232,0.3288,0.4188,,97,0.75
excel,1000,couchbase,C,single,lab_orders,0,5000,3.1255021400211263,3.852599999299855,313.84829620364565,33.4,16.92799186706543,0.9164158094100604,0.0,0.3352,,97,1.0
excel,1000,couchbase,C,single,lab_orders,1,5000,3.1183870000735623,3.955719997975393,314.60575463015573,33.2,16.92799186706543,0.9164158094100604,0.0,0.3352,,97,1.0
excel,1000,couchbase,C,single,lab_orders,2,5000,3.0622401000597166,3.76109999997425,320.46501781446875,31.2,16.92799186706543,0.9164158094100604,0.0,0.3352,,97,1.0
excel,1000,couchbase,D,single,lab_orders,0,5000,2.6629631399249774,3.426735000175541,368.160656474719,32.2,19.86164379119873,1.0752323438043467,0.3984,0.3984,,97,0.5
excel,1000,couchbase,D,single,lab_orders,1,5000,2.6310002999845894,3.3999100007349625,372.7259347765746,32.5,19.86164379119873,1.0752323438043467,0.3984,0.3984,,97,0.5
excel,1000,couchbase,D,single,lab_orders,2,5000,2.6298430999726405,3.392385000915965,372.9120866692514,30.5,19.86164379119873,1.0752323438043467,0.3984,0.3984,,97,0.5
excel,1000,couchbase,D,single,lab_orders,0,5000,3.00094474003854,3.799605002132012,326.4062101785141,36.8,19.109487533569336,1.0345135219233332,0.3288,0.3288,,97,0.75
excel,1000,couchbase,D,single,lab_orders,1,5000,2.8817275600100403,3.6705950020405,340.3314417122685,33.4,19.109487533569336,1.0345135219233332,0.3288,0.3288,,97,0.75
excel,1000,couchbase,D,single,lab_orders,2,5000,2.865809260008973,3.658845000245492,342.26004810301055,32.6,19.109487533569336,1.0345135219233332,0.3288,0.3288,,97,0.75
excel,1000,couchbase,D,single,lab_orders,0,5000,3.0833101799493305,3.755605002515949,318.2885831680909,31.1,18.4127779006958,0.9967963652075514,0.0,0.0,,97,1.0
excel,1000,couchbase,D,single,lab_orders,1,5000,3.069083840001258,3.821965005045058,319.79752774240006,32.4,18.4127779006958,0.9967963652075514,0.0,0.0,,97,1.0
excel,1000,couchbase,D,single,lab_orders,2,5000,3.136067059975176,3.982120002183365,312.83915283605984,35.1,18.4127779006958,0.9967963652075514,0.0,0.0,,97,1.0
excel,1000,couchbase,A,multi,patients,0,5000,8.35981996004557,10.732360003748909,118.5626186134526,35.7,21.21927547454834,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,patients,1,5000,8.364504079942709,10.734269996100922,118.35416508664272,36.3,21.21927547454834,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,patients,2,5000,8.338011579935847,10.642495001229692,118.75667819273237,36.1,21.21927547454834,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,lab_orders,0,5000,2.3822934599913426,3.362435004964937,416.160206631128,34.5,21.22932243347168,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,lab_orders,1,5000,2.2868700799750514,3.117414996086154,434.9401704999811,32.6,21.22932243347168,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,lab_orders,2,5000,2.292710140027338,3.1214500042551663,433.781245436515,30.5,21.22932243347168,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,billing,0,5000,4.912196839986427,6.350909996035625,202.1192192048892,31.9,21.242544174194336,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,billing,1,5000,4.853145519988902,6.227050004235935,204.4433781041128,30.8,21.242544174194336,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,billing,2,5000,4.844829239984392,6.163054998251027,204.79331198123077,31.1,21.242544174194336,1.0,1.0,,,5000,
excel,1000,couchbase,A,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0,
excel,1000,couchbase,B,multi,patients,0,5000,7.38879502001073,9.430370000336552,132.94777132445424,35.5,21.254886627197266,1.0016782454561957,1.0,,,5,
excel,1000,couchbase,B,multi,patients,1,5000,7.402100619956036,9.602565001114272,132.62946628003806,36.0,21.254886627197266,1.0016782454561957,1.0,,,5,
excel,1000,couchbase,B,multi,patients,2,5000,7.370991359994514,9.499599997434416,133.23046200787994,34.7,21.254886627197266,1.0016782454561957,1.0,,,5,
excel,1000,couchbase,B,multi,lab_orders,0,5000,2.348811899978318,3.258640001513413,415.2026207058088,32.1,21.24803066253662,1.0008812447558593,0.7236,,,97,
excel,1000,couchbase,B,multi,lab_orders,1,5000,2.343274959971313,3.2178199966438115,417.6257023294866,33.7,21.24803066253662,1.0008812447558593,0.7236,,,97,
excel,1000,couchbase,B,multi,lab_orders,2,5000,2.3332323999915388,3.20983000092383,419.5978725046165,32.5,21.24803066253662,1.0008812447558593,0.7236,,,97,
excel,1000,couchbase,B,multi,billing,0,5000,4.747641719957755,5.988239998623612,207.1378261497924,32.1,21.236584663391117,0.9997194539997492,1.0,,,4,
excel,1000,couchbase,B,multi,billing,1,5000,4.7157586399800495,5.983344998094253,208.2734694636131,31.7,21.236584663391117,0.9997194539997492,1.0,,,4,
excel,1000,couchbase,B,multi,billing,2,5000,4.702902020075999,5.919089995950344,208.7977709150907,32.0,21.236584663391117,0.9997194539997492,1.0,,,4,
